對曰：「臣嘗有罪，【竊】計欲亡走燕。」〈廉頗〉	私下
君子無終食之間違仁，造次必於是 ，【顛沛】必於是。〈論語〉	窮困、受挫折。
一日克己復禮，天下【歸】仁焉。〈論語〉	讚許。
顏淵曰：「請問其【目】。」〈論語〉	綱目、要目
顏淵曰：「回雖【不敏】，請事斯語矣。」〈論語〉	不聰敏。
顏淵曰：「回雖不敏，請【事】斯語矣。」〈論語〉	實踐。
無求生以害仁，有【殺身】以成仁。〈論語〉	犧牲自己。
孟懿子問孝。子曰：「【無違】。」〈論語〉	不要違背禮節。
生【事】之以禮〈論語〉	侍奉。
今之孝者，是謂能【養】〈論語〉	供養。
至於犬馬，皆能有【養】〈論語〉	飼養。
事父母【幾】諫〈論語〉	輕微、婉轉。
見志不從，又敬不【違】，勞而不怨〈論語〉	觸忤、冒犯。
見志不從，又敬不違，【勞】而不怨〈論語〉	擔憂。
君子【不重】則不威〈論語〉	不莊重。
君子不重則【不威】〈論語〉	沒有威儀。
學則【不固】〈論語〉	不牢固/閉塞淺陋
【主】忠信〈論語〉	以......為主。
無友不【如】己者〈論語〉	類似/及上
【過】則勿憚改〈論語〉	過錯。
過則勿【憚】改〈論語〉	害怕、畏懼。
君子【坦蕩蕩】，小人長戚戚〈論語〉	心胸舒坦寬廣
君子坦蕩蕩，小人【長戚戚】〈論語〉	經常局促憂愁
【斯】謂之君子矣乎〈論語〉	這樣。
君子【成人之美】，不成人之惡。小人反是。〈論語〉	成全別人的好事
君子成人之美，不【成人之惡】。小人反是。〈論語〉	不促成別人的壞事
君子成人之美，不成人之惡。小人反【是】。〈論語〉	此、這個。
君子義以為【質】〈論語〉	原則/本質
君子【恥】其言而過其行〈論語〉	因......感到羞恥。
禮以行之，【孫】以出之，信以成之〈論語〉	通「遜」，謙遜。
禮以行之，孫以出之，【信】以成之〈論語〉	誠實
君子【病】無能焉，不病人之不己知也〈論語〉	慚愧、抱怨。
君子恥其言而過其【行】〈論語〉	行為、品行
【緣】染溪〈始得〉	沿?
【窮】山之高而止〈始得〉	窮盡
【斫】榛莽〈始得〉	砍伐
斫【榛莽】〈始得〉	雜亂叢生之木
焚茅【茷】〈始得〉	草葉茂盛
焚【茅茷】〈始得〉	茂密之茅草
【箕踞】而遨〈始得〉	輕慢、不拘禮節之坐姿（隨意張開雙腳而坐，形如簸箕）
箕踞而【遨】〈始得〉	游目四盼
皆在【衽席】之下〈始得〉	座席
【岈然】窪然〈始得〉	山谷深邃
岈然【窪然】〈始得〉	山谷低凹貌
若【垤】若穴〈始得〉	蟻窩口堆積之浮土
【攢】蹙累積〈始得〉	聚集
攢【蹙】累積〈始得〉	緊迫
攢蹙【累】積〈始得〉	堆疊
攢蹙累【積】〈始得〉	積聚
莫得【遯】隱〈始得〉	隱藏
【縈】青繚白〈始得〉	縈繞
縈青【繚】白〈始得〉	纏
不與【培塿】為類〈始得〉	隆起的小丘。
悠悠乎與【顥氣】俱〈始得〉	洋溢天地之間的大氣
悠悠乎與顥氣【俱】〈始得〉	一起存在
【洋洋】乎與造物者遊〈始得〉	廣大無涯的樣子
【引】觴滿酌〈始得〉	取
【頹然】就醉〈始得〉	站不穩，醉醺醺貌。
【蒼】然暮色〈始得〉	深青色
心【凝】形釋〈始得〉	凝聚
心凝形【釋】〈始得〉	釋放
與【萬化】冥合〈始得〉	萬物
與萬化【冥合】〈始得〉	相互契合
然後知吾【嚮】之未始遊〈始得〉	從前，過往
然後知吾嚮之【未始】遊〈始得〉	不曾
遊於是乎始，故為之文以【志】。〈始得〉	記錄
自余為【僇】人〈始得〉	罪
【恒】惴慄〈始得〉	常常
恒【惴】慄〈始得〉	恐懼
其【隙】也 ，則施施 而行，漫漫而遊。〈始得〉	空隙，指公務之餘的時間。
其隙也 ，則【施施】而行，漫漫而遊。〈始得〉	徐行貌
其隙也 ，則施施而行，【漫漫】而遊。〈始得〉	隨意、無拘無束的樣子
日與其【徒】上高山〈始得〉	意氣相投的朋友
【窮】迴溪〈始得〉	窮盡
窮【迴】溪〈始得〉	迂迴曲折
到則【披】草而坐〈始得〉	分開
到則【披草】而坐〈始得〉	撥開草叢
醉則更相【枕】以臥〈始得〉	以頭枕物/枕靠
意有所【極】，夢亦同趣。〈始得〉	至
意有所極，夢亦同【趣】。〈始得〉	前往
【覺】而起，起而歸。〈始得〉	醒過來
以為凡【是】州之山有異態者，皆我有也〈始得〉	此
【遂】命僕過湘江〈始得〉	於是
恒惴【慄】〈始得〉	戰慄
我樹之成而【實】五石〈逍遙遊〉	果實
其堅不能自【舉】也〈逍遙遊〉	擎、支撐
【剖】之以為瓢，則瓠落無所容。〈逍遙遊〉	破開
剖之以為瓢，則【瓠】落無所容。〈逍遙遊〉	空廓
吾為其無用而【掊】之。〈逍遙遊〉	打碎、擊破
聚族而【謀】曰〈逍遙遊〉	商量
【裂】地而封之。〈逍遙遊〉	割出
則夫子猶有【蓬】之心也夫〈逍遙遊〉	猶如蓬草閉塞的心
【或】以封，或不免於洴澼絖〈逍遙遊〉	有的人
其大【本】擁腫而不中繩墨〈逍遙遊〉	樹幹
其小枝卷曲而不中【規矩】〈逍遙遊〉	用以劃圓及用以劃方的工具
立之【塗】，匠者不顧。〈逍遙遊〉	道路
子【獨】不見狸狌乎？〈逍遙遊〉	難道
【卑】身而伏，以候敖者。〈逍遙遊〉	卑伏
卑身而伏，以候【敖】者。〈逍遙遊〉	出遊
東西跳【梁】，不辟高下。〈逍遙遊〉	跳躍
東西跳梁，不【辟】高下。〈逍遙遊〉	避
中於【機辟】，死於罔罟。〈逍遙遊〉	捕捉鳥獸的工具
中於機辟，死於【罔罟】。〈逍遙遊〉	漁獵的工具
今子之言，大而無用，?所同【去】也。〈逍遙遊〉	離棄
世世以【洴】澼絖為事〈逍遙遊〉	浮
世世以洴【澼】絖為事〈逍遙遊〉	漂
世世以洴澼【絖】為事〈逍遙遊〉	棉絮
越有難，吳王【使】之將〈逍遙遊〉	派
客得之，以【說】吳王〈逍遙遊〉	游說
其堅不能自【舉】也〈逍遙遊〉	擎、支撐
非不【呺然】大也〈逍遙遊〉	虛空而巨大的樣子
其大本擁腫而不【中】繩墨〈逍遙遊〉	符合
其大本擁腫而不中【繩墨】〈逍遙遊〉	木工畫直線用的工具
子有大樹，【患】其無用，何不樹之於無何有之鄉〈逍遙遊〉	擔憂
子有大樹，患其無用，何不樹之於【無何有】之鄉〈逍遙遊〉	甚麼都沒有
子有大樹，患其無用，何不樹之於無何有之【鄉】〈逍遙遊〉	原野/處所、地方
不【夭】斤斧，物無害者。〈逍遙遊〉	摧折
【廣】莫之野〈逍遙遊〉	廣大
廣【莫】之野〈逍遙遊〉	遼闊
夫子【固】拙於用大矣〈逍遙遊〉	實在
夫子固【拙】於用大矣〈逍遙遊〉	不善
我【樹】之成而實五石〈逍遙遊〉	種植
今一朝而【鬻】技百金，請與之。〈逍遙遊〉	賣
今一朝而鬻技百金，請【與】之。〈逍遙遊〉	答應
無所可用，【安】所困苦哉？〈逍遙遊〉	豈
【彷徨】乎無為其側〈逍遙遊〉	縱任不拘
吾為其無用而【掊】之〈逍遙遊〉	打碎
【逍遙】乎寢臥其下〈逍遙遊〉	優游自在
